Distance,Conductance,Type,Node ID,EPSP
379.5847690727867,0.4,apic,0,0.23076826414214224
320.38126718516264,0.4,apic,1,0.25774559320446144
468.6693537968005,0.4,apic,2,0.18710154858953842
230.80523374005736,0.4,apic,3,0.3044831455933519
93.07159617395864,0.4,dend,4,0.3536513091661959
303.8543145837544,0.4,apic,5,0.26835624682956905
159.5224873602236,0.4,dend,6,0.3574159861800297
231.9158829836171,0.4,apic,7,0.2883439459049981
170.12215362637647,0.4,dend,8,0.34665520019707685
1256.1271403859382,0.4,apic,9,0.01435215646289123
135.46387295877747,0.4,dend,10,0.37373856756765633
166.26831621199332,0.4,dend,11,0.32967724544442945
1160.5177435476412,0.4,apic,12,0.019191582172382482
360.41402185459816,0.4,apic,13,0.21078463487464205
1151.7151685370425,0.4,apic,14,0.01614166829178032
114.45093534896016,0.4,dend,15,0.3471828673801838
91.56317190102513,0.4,dend,16,0.3632123874490105
1034.9073069284893,0.4,apic,17,0.05918134136207698
73.78483825144615,0.4,dend,18,0.38450296480603186
819.0788851075889,0.4,apic,19,0.09150354934010352
66.91099239677285,0.4,dend,20,0.3896869957486757
53.1179382207076,0.4,dend,21,0.39051649235096875
386.6853090271192,0.4,apic,22,0.20489499028103353
309.0085548012233,0.4,apic,23,0.28310260068039383
205.95709008267312,0.4,apic,24,0.29261363958056563
125.3566566162255,0.4,dend,25,0.3277370528567758
299.37612342372216,0.4,apic,26,0.2668411675532809
922.8358253746584,0.4,apic,27,0.04759857769192877
1129.9786252269105,0.4,apic,28,0.017642222643019068
1001.1614376649595,0.4,apic,29,0.06208355038710067
130.03362670112426,0.4,dend,30,0.34865301305690366
1272.0712877706492,0.4,apic,31,0.010786660919976043
135.8111998862337,0.4,dend,32,0.36872554916278943
64.34817036737246,0.4,dend,33,0.3822353769685236
305.1546690250625,0.4,apic,34,0.24276696232114148
901.6418642955133,0.4,apic,35,0.05214981458472323
256.44604565619005,0.4,apic,36,0.28267335815219496
62.20484063807472,0.4,dend,37,0.3989643025066556
425.49093282196185,0.4,apic,38,0.19353078020648695
266.3004727952778,0.4,apic,39,0.2656030903099378
157.7359929154133,0.4,dend,40,0.36475782104149346
63.257949614465474,0.4,dend,41,0.3824228925977735
236.03288425906243,0.4,dend,42,0.3185086369454808
1129.7695508672211,0.4,apic,43,0.018130882897537504
127.90395758675258,0.4,apic,44,0.3643509389238204
1224.7736160644306,0.4,apic,45,0.014659979042292548
216.5604565168211,0.4,dend,46,0.336842417948489
104.71130249161502,0.4,dend,47,0.37132149774768664
177.301770789326,0.4,dend,48,0.3365344450266008
272.6730029880563,0.4,apic,49,0.24852699331010797
866.8068790881941,0.4,apic,50,0.08238208405983016
1243.1200317020266,0.4,apic,51,0.014279144857326287
1268.853329714829,0.4,apic,52,0.011747193169568959
233.66085693160156,0.4,apic,53,0.27817390369780526
118.60562735198349,0.4,dend,54,0.34025127471879557
69.39242684257508,0.4,apic,55,0.3852018609172916
83.3175177762149,0.4,dend,56,0.3792137831500355
100.86394087242223,0.4,dend,57,0.3754509574848015
234.38745604921883,0.4,apic,58,0.2873633379176397
177.301770789326,0.4,dend,59,0.3365344450266008
1266.1702708969415,0.4,apic,60,0.013683255986450149
219.37644786150884,0.4,dend,61,0.2929102449451477
402.54039085029336,0.4,apic,62,0.19461961506526393
121.35133217772844,0.4,dend,63,0.3169897458410418
50.49431150301488,0.4,dend,64,0.39045304984264817
166.26831621199332,0.4,dend,65,0.32967724544442945
425.49093282196185,0.4,apic,66,0.19353078020648695
80.63428340982409,0.4,dend,67,0.38038040264758877
112.99782162310034,0.4,dend,68,0.35530947420861025
210.4617471204462,0.4,apic,69,0.29448779865769836
126.69388733406448,0.4,dend,70,0.37511544576908307
119.19831780561462,0.4,dend,71,0.3729152344076141
978.2791161820779,0.4,apic,72,0.06448842975493108
125.34785430040972,0.4,dend,73,0.3791334085180438
591.2058660395062,0.4,apic,74,0.13762433751941217
166.66555180618144,0.4,dend,75,0.29066124039478325
187.49904621726998,0.4,apic,76,0.30266965697884984
63.15924307395112,0.4,dend,77,0.3835205738972718
354.2599060505388,0.4,apic,78,0.22059539762878444
359.76838909913823,0.4,apic,79,0.2106859610441063
145.1681850522801,0.4,dend,80,0.3407296816763363
172.58036452692494,0.4,dend,81,0.3435053655553446
223.51037200295207,0.4,dend,82,0.3476986898925958
159.55687396065295,0.4,dend,83,0.31224322217207146
1160.4550631470565,0.4,apic,84,0.03838908333591462
146.36459889218844,0.4,dend,85,0.3563568362903595
1105.1821706953726,0.4,apic,86,0.05505712476217184
999.7698750450476,0.4,apic,87,0.06208876878548608
324.23749899931823,0.4,apic,88,0.22605462715490887
143.422687241373,0.4,dend,89,0.3527567326688654
125.34785430040972,0.4,dend,90,0.3791334085180438
283.14649180641305,0.4,apic,91,0.27913562096307487
1042.5024963743288,0.4,apic,92,0.055559944882816126
795.6720588997864,0.4,apic,93,0.07911436673248318
73.15339736778739,0.4,dend,94,0.37311289371113787
54.42691513006233,0.4,dend,95,0.3794247976007199
1151.4676333019793,0.4,apic,96,0.016892663695003307
962.3558687813563,0.4,apic,97,0.04040142886925935
827.6286096659444,0.4,apic,98,0.08813103226077601
381.95239250561684,0.4,apic,99,0.20406775258344112
